product_id,name,category,price,in_stock,rating
101,Apple iPhone 14,Smartphones,799.99,true,4.6
102,Samsung Galaxy S22,Smartphones,699.99,true,4.5
103,Google Pixel 7,Smartphones,649.99,false,4.4
104,Dell XPS 13,Laptops,1099.99,true,4.7
105,MacBook Air M2,Laptops,1199.99,true,4.8
106,HP Pavilion 15,Laptops,799.49,false,4.3
107,Sony WH-1000XM5,Headphones,399.99,true,4.6
108,Bose QuietComfort 45,Headphones,329.99,true,4.5
109,Apple Watch Series 8,Smartwatches,499.99,false,4.7
110,Fitbit Charge 5,Smartwatches,149.99,true,4.4
